sku,sales-channel,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-22,2020-02-23,2020-02-18,2020-01-19,2020-01-20,2020-01-21,2020-01-26,2020-01-27,2020-01-30,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-09,2020-02-11,2020-02-12,2020-02-15,2020-02-17,2020-02-20,2020-02-21,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-01-23,2020-01-24,2020-01-25,2020-01-28,2020-01-31,2020-02-08,2020-02-10,2020-02-01,2020-02-14,2020-01-29,2020-02-13,2020-02-19,2020-02-22,2020-03-03,2020-02-16
CR-J1IP-T466,Amazon.de,0,1,0,2,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,1,0,17,21,1,0,0,1,0,1,0,0,0,4,2,3,0,0,0,0
CR-J1IP-T466,"SI Prod IT Marketplace",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5-08NO-OFZ7,Amazon.fr,0,0,3,0,0,0,1,0,3,0,4,1,0,1,1,1,0,0,1,0,0,0,0,3,1,0,0,0,0,0,1,6,0,0,6,0,0,0,2,1,4,4,0,2,1,0,0,2,0,0,1,3
E5-08NO-OFZ7,Amazon.it,0,0,2,3,1,0,1,8,3,4,2,0,1,1,0,4,1,1,2,1,2,5,1,2,3,2,3,2,2,3,4,1,0,1,1,6,4,2,0,1,0,0,1,4,1,1,2,0,2,1,3,1
E5-08NO-OFZ7,Non-Amazon,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
E5-08NO-OFZ7,"SI UK Prod Marketplace",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,1,0,1,0,0
E5-08NO-OFZ7,Amazon.es,0,0,1,4,5,1,0,0,2,1,1,1,2,1,0,7,2,2,1,0,1,5,0,1,1,6,1,0,0,4,0,0,1,0,0,1,3,6,2,2,3,0,3,1,1,4,0,2,0,0,1,2
E5-08NO-OFZ7,Amazon.co.uk,0,0,2,1,6,4,1,4,3,10,1,1,3,2,1,11,1,3,3,5,0,1,3,1,1,2,6,7,4,9,4,18,27,25,27,23,4,4,1,2,4,4,4,4,3,2,3,4,6,3,3,0
E5-08NO-OFZ7,"SI Prod ES Marketplace",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5-08NO-OFZ7,Amazon.de,0,0,0,1,0,2,0,0,12,2,0,0,0,2,6,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,2,1
E5-08NO-OFZ7,"SI Prod IT Marketplace",0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
GG-IC3J-H62N,Amazon.fr,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,11,0,1
GG-IC3J-H62N,Amazon.it,1,0,3,3,1,1,2,1,0,0,1,2,1,0,1,0,0,2,4,0,1,2,2,5,7,0,3,0,1,2,2,1,1,0,5,2,4,2,1,5,5,5,3,3,1,0,4,1,3,2,3,2
